,cik,company
667,277356,RIVERSIDE GROUP INC/FL
668,277577,NATIONAL INCOME REALTY TRUST
669,277638,DAVEY TREE EXPERT CO
670,277795,GEICO CORP
671,277821,NATIONAL EDUCATION CORP
672,277923,PICCADILLY CAFETERIAS INC
673,278041,INTERNATIONAL SHIPHOLDING CORP
674,278130,PIER 1 IMPORTS INC/DE
675,278243,LA QUINTA INNS INC
676,310103,CONNECTICUT ENERGY CORP
677,310183,MISSOURI PACIFIC RAILROAD CO/DEL
678,310377,HBO & CO
679,310431,CBI INDUSTRIES INC /DE/
680,310522,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE
681,310569,"ANHEUSER-BUSCH COMPANIES, INC."
682,310979,FIRST BANKS AMERICA INC
683,311094,WESTAMERICA BANCORPORATION
684,311099,IRT PROPERTY CO
685,311100,JEFFERSON BANKSHARES INC
686,311359,BALLYS PARK PLACE INC
687,313058,SOUTHDOWN INC
688,313337,TRI CITY BANKSHARES CORP
689,313478,HARKEN ENERGY CORP
690,313749,LA QUINTA CORP
691,313798,ADAC LABORATORIES
692,313857,BANK OF NEW HAMPSHIRE CORP
693,314132,FLEETWOOD ENTERPRISES INC/DE/
694,314661,LA QUINTA PROPERTIES INC
695,314662,NATIONAL CONVENIENCE STORES INC /DE/
696,314808,VALARIS PLC
697,314865,SPINNAKER INDUSTRIES INC
698,314890,WICOR INC
699,315125,HOUSE OF FABRICS INC/DE/
700,315180,TANDEM COMPUTERS INC /DE/
701,315213,ROBERT HALF INTERNATIONAL INC.
702,315256,PUBLIC SERVICE CO OF NEW HAMPSHIRE
703,315641,UNR INDUSTRIES INC
704,315849,SOUTHWEST GEORGIA FINANCIAL CORP
705,316004,DSC COMMUNICATIONS CORP
706,316218,INTERNATIONAL COMFORT PRODUCTS CORP
707,316236,GRAND UNION CO /DE/
708,316300,EXCO RESOURCES INC
709,316456,GULF CANADA RESOURCES LTD
710,316709,SCHWAB CHARLES CORP
711,316769,FIRST COMMERCIAL CORP
712,316793,INTERNATIONAL RECTIFIER CORP /DE/
713,316901,UST CORP /MA/
714,316909,LIBERTY NATIONAL BANCORP INC /KY/
715,317030,GENERAL NUTRITION INC
716,317187,PPL ELECTRIC UTILITIES CORP
717,317833,CITICASTERS INC
718,318025,UNITED STATES FILTER CORP
719,318378,BANCTEC INC
720,318870,INDEPENDENT BANKSHARES INC
721,318996,KEY ENERGY SERVICES INC
722,319019,HALLWOOD ENERGY CORP
723,319120,ACKERLEY GROUP INC
724,319157,AMERICAN FINANCIAL ENTERPRISES INC /CT/
725,319399,FIRST STATE CORP /GA/
726,319416,CONTINENTAL MORTGAGE & EQUITY TRUST
727,319489,ADVEST GROUP INC
728,319651,PROVIDENCE ENERGY CORP
729,320185,FRESENIUS USA INC
730,320321,OCEAN ENERGY INC /TX/
731,320431,"UNIFIED GROCERS, INC."
732,320446,ALIANT COMMUNICATIONS INC
733,320575,PIONEER ENERGY SERVICES CORP
734,350066,"INTER TEL (DELAWARE), INC"
735,350071,MERRY LAND & INVESTMENT CO INC
736,350403,PHI INC
737,350571,AMERICAN BANKERS INSURANCE GROUP INC
738,350572,WORTHEN BANKING CORP
739,351116,FREEPORT MCMORAN INC
740,351155,WEST ONE BANCORP
741,351238,BANK OF SAN FRANCISCO CO HOLDING CO
742,351521,EVERGREEN BANCORP INC
743,351616,ONE VALLEY BANCORP INC
744,351617,SC BANCORP
745,351696,PANENERGY CORP
746,351710,GBC BANCORP
747,351825,FIRST NATIONAL BANCORP /GA/
748,351936,XEROX CREDIT CORP
749,351991,ELDORADO BANCORP
750,352510,NORTH FORK BANCORPORATION INC
751,352736,ALLSTATE LIFE INSURANCE CO
752,352825,FOSTER L B CO
753,353524,IBM CREDIT CORP
754,353796,JONES SPACELINK LTD
755,354392,NOBEL INSURANCE LTD
756,355069,CONTINENTAL CABLEVISION INC
757,355473,JOHNS MANVILLE CORP /NEW/
758,355622,RYANS RESTAURANT GROUP INC
759,355818,HOMELAND BANKSHARES CORP
760,355883,FIRST UNITED BANCSHARES INC /AR/
761,355946,HERITAGE FINANCIAL SERVICES INC /IL/
762,356226,POLICY MANAGEMENT SYSTEMS CORP
763,356395,RELIANCE GROUP HOLDINGS INC
764,356809,ABIGAIL ADAMS NATIONAL BANCORP INC
765,356830,OSCIENT PHARMACEUTICALS CORP
766,356858,FIRST BANKING CENTER INC
767,357019,GATX FINANCIAL CORP
768,357066,MID AM INC
769,357105,CENTURY SOUTH BANKS INC
770,357191,AREA BANCSHARES CORP
771,357208,FIRST BANKING CO OF SOUTHEAST GEORGIA
772,357261,FLORIDA PROGRESS CORP
773,357262,NORTH COUNTY BANCORP
774,357269,FORT WAYNE NATIONAL CORP
775,700612,ARNOLD INDUSTRIES INC
776,700613,TRANSWORLD BANCORP
777,700674,AIR EXPRESS INTERNATIONAL CORP /DE/
778,700863,SUSQUEHANNA BANCSHARES INC
779,700914,PROFESSIONAL BANCORP INC
780,700997,TCA CABLE TV INC
781,701708,CALIBER SYSTEM INC
782,701803,AMERICAN BANCORP OF NEVADA
783,701856,SAFETY KLEEN CORP/
784,701985,"L BRANDS, INC."
785,702508,FINANCIAL TRUST CORP
786,702592,REPUBLIC BANKING CORP OF FLORIDA
787,702808,JACOR COMMUNICATIONS INC
788,702904,AMBANC CORP
789,703604,LAWSON PRODUCTS INC/NEW/DE/
790,703699,SOUTHERN MICHIGAN BANCORP INC
791,703701,WESTBRIDGE CAPITAL CORP
792,703799,VICORP RESTAURANTS INC
793,703800,BROAD NATIONAL BANCORPORATION
794,703904,SOUTHERN BANCSHARES NC INC
795,704386,VLSI TECHNOLOGY INC
796,704469,TRANS FINANCIAL INC
797,705025,INTRUST FINANCIAL CORP /
798,705200,PAB BANKSHARES INC
799,705356,NATIONAL BANCORP OF ALASKA INC
800,706116,VERMONT FINANCIAL SERVICES CORP
801,706129,HORIZON BANCORP INC /IN/
802,706166,CAROLINA FREIGHT CORP
803,707855,PRINCETON NATIONAL BANCORP INC
804,708481,WELLS FARGO FINANCIAL INC
805,708819,MCDERMOTT INTERNATIONAL INC
806,708823,CENTOCOR INC
807,708848,FIRST CITIZENS BANCORPORATION INC
808,709136,GRAHAM FIELD HEALTH PRODUCTS INC
809,709255,TEXTRON FINANCIAL CORP
810,709804,STEEL EXCEL INC.
811,710507,"FIRST BANKS, INC"
812,710979,BLOCKBUSTER ENTERTAINMENT CORP
813,710983,QMS INC
814,711083,MID AMERICA BANCORP/KY/
815,711405,U S HEALTHCARE INC
816,711513,BOEING CAPITAL CORP
817,711761,LOTUS DEVELOPMENT CORP
818,711808,TENCOR INSTRUMENTS
819,712964,SEALRIGHT COMPANY INC
820,714311,INTERNATIONAL LEASE FINANCE CORP
821,714612,CCB FINANCIAL CORP
822,714712,JUNIATA VALLEY FINANCIAL CORP
823,714719,FIRST COLONIAL GROUP INC
824,714756,AMCORE FINANCIAL INC
825,714865,PYRAMID TECHNOLOGY CORP
826,715357,FARM FRESH INC
827,715366,KEYSTONE HERITAGE GROUP INC
828,715428,AMERICAN EXPLORATION CO
829,715577,BURR BROWN CORP
830,715842,SAVOIR TECHNOLOGY GROUP INC/DE
831,715969,UNITED WATER RESOURCES INC
832,715991,CITI BANCSHARES INC
833,716006,YELLOW CORP
834,716438,TRAK AUTO CORP
835,716459,PROMISTAR FINANCIAL CORP
836,716644,FOXMEYER HEALTH CORP
837,716714,STERLING SOFTWARE INC
838,716783,LAFARGE NORTH AMERICA INC
839,716934,CONVERSE INC
840,717014,ACUSON CORP
841,717217,SECURITY CAPITAL BANCORP
842,717829,GIBSON GREETINGS INC
843,718074,NU HORIZONS ELECTRONICS CORP
844,718077,PEOPLES FIRST CORP
845,718244,WESTERN WASTE INDUSTRIES
846,718482,EDWARDS A G INC
847,718607,CHARTER BANCSHARES INC
848,718865,MICROPOLIS CORP
849,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP
850,719227,CBT CORP /KY/
851,719242,ORNDA HEALTHCORP
852,719547,CLAYTON HOMES INC
853,719612,LEARNING CO INC
854,719721,MERRY GO ROUND ENTERPRISES INC
855,719731,HERITAGE BANKSHARES INC /VA
856,719739,SVB FINANCIAL GROUP
857,719798,CROWN BOOKS CORP
858,719955,WILLIAMS SONOMA INC
859,721161,SJNB FINANCIAL CORP
860,721601,CHAMPION HEALTHCARE CORP /TX/
861,721669,LADD FURNITURE INC
862,721693,CHINA RECYCLING ENERGY CORP
863,722080,ECHO BAY MINES LTD
864,722808,BINDLEY WESTERN INDUSTRIES INC
865,723323,LETCHWORTH INDEPENDENT BANCSHARES CORP
866,723371,HARTMARX CORP/DE
867,723534,BALLARD MEDICAL PRODUCTS
868,723594,FIRST CENTURY BANKSHARES INC
869,723610,STRATUS COMPUTER INC
870,723878,LAKE ARIEL BANCORP INC
871,724176,MAXUS ENERGY CORP /DE/
872,724198,CNB BANCSHARES INC
873,724571,FREDS INC
874,724742,TRINITY PLACE HOLDINGS INC.
875,725182,AST RESEARCH INC /DE/
876,725282,EXECUTONE INFORMATION SYSTEMS INC
877,725457,AMERICAN PRESIDENT COMPANIES LTD
878,726294,BELMONT BANCORP
879,726512,SCIOS INC
880,726606,DIAGNOSTEK INC
881,726957,PARK COMMUNICATIONS INC
882,726958,CASEYS GENERAL STORES INC
883,726990,AMERICANWEST BANCORPORATION
884,727162,GRAPHIC INDUSTRIES INC
885,727510,ENZON PHARMACEUTICALS INC
886,728376,AXIOHM TRANSACTION SOLUTIONS INC
887,728535,HUNT J B TRANSPORT SERVICES INC
888,729533,HADCO CORP
889,729576,CML GROUP INC
890,729922,OSI PHARMACEUTICALS INC
891,729970,DELCHAMPS INC
892,730025,HORIZON BANCORP INC /WV/
893,730409,CLARIDGE HOTEL & CASINO CORP
894,731122,CCFNB BANCORP INC
895,731190,IT GROUP INC
896,731244,BMJ FINANCIAL CORP
897,731288,PACCAR FINANCIAL CORP
898,731336,GENETICS INSTITUTE INC
899,731804,FP BANCORP INC
900,731859,AMPAL-AMERICAN ISRAEL CORP
901,731939,TEMPLE INLAND INC
902,732417,HILLS BANCORPORATION
903,732639,SANTA FE PACIFIC CORP
904,732713,BELLSOUTH CORP
905,732714,NYNEX CORP
906,732716,PACIFIC TELESIS GROUP
907,733060,PIONEER GROUP INC
908,733076,BRIGHTHOUSE LIFE INSURANCE CO
909,735571,WARRANTECH CORP
910,735961,WESTPORT BANCORP INC
911,736260,HANCOCK JOHN FINANCIAL SERVICES INC
912,736768,PETROLEUM HEAT & POWER CO INC
913,737287,LIBERTY BANCORP INC /OK/
914,737755,METROMAIL CORP
915,737875,FIRST KEYSTONE CORP
916,739404,CORRECTIONS CORPORATION OF AMERICA
917,739878,RUSS BERRIE & CO INC
918,740126,FINGERHUT COMPANIES INC
919,740868,EXCEL INDUSTRIES INC
920,740876,FIRST WESTERN BANCORP INC
921,741341,METROPOLITAN FINANCIAL CORP /DE/
922,741356,INDEPENDENCE BANCORP INC /NJ/
923,741561,ANCHOR FINANCIAL CORP
924,741612,TNP ENTERPRISES INC
925,741815,HOOPER HOLMES INC
926,742070,WESTBANK CORP
927,742112,INVACARE CORP
928,742246,MATEWAN BANCSHARES INC
929,742679,FNB FINANCIAL SERVICES CORP
930,743136,REPUBLIC SECURITY FINANCIAL CORP
931,743239,GLEASON CORP /DE/
932,743367,BAR HARBOR BANKSHARES
933,743475,TURNER CORP
934,743653,CONVEX COMPUTER CORP
935,744106,FEDDERS CORP /DE
936,744455,GREAT WEST LIFE & ANNUITY INSURANCE CO
937,744485,NORTHERN STATES FINANCIAL CORP /DE/
938,745087,FNB ROCHESTER CORP
939,745142,CURTIS HELENE INDUSTRIES INC /DE/
940,745274,CADMUS COMMUNICATIONS CORP/NEW
941,745276,COBANCORP INC
942,745448,METALDYNE CORP
943,745907,CRYSTAL OIL CO
944,746961,PEGASUS GOLD INC
945,747205,CIVIC BANCORP
946,749254,TRM CORP
947,749420,DALLAS SEMICONDUCTOR CORP
948,749510,LANDMARK GRAPHICS CORP
949,749751,GUARDIAN BANCORP
950,750004,SCIENTIFIC GAMES CORP
951,750217,BROADWAY STORES INC
952,750234,USLICO CORP
953,750339,AMERICAN SAFETY RAZOR CO
954,750558,QNB CORP
955,750574,"AUBURN NATIONAL BANCORPORATION, INC"
956,751190,MEASUREX CORP /DE/
957,751926,BALTIMORE BANCORP
958,752290,UNIMAR CO
959,752324,NEW ENGLAND COMMUNITY BANCORP INC
960,753281,AMERICAN INSURED MORTGAGE INVESTORS SERIES 85 L P
961,754597,HABERSHAM BANCORP
962,755095,PICTURETEL CORP
963,756899,FIRST KNOX BANC CORP
964,757012,CORPUS CHRISTI BANCSHARES INC
965,757790,CUPERTINO NATIONAL BANCORP
966,758604,BUSH INDUSTRIES INC
967,758722,PARACELSUS HEALTHCARE CORP
968,759458,CANANDAIGUA NATIONAL CORP
969,759718,BERKSHIRE BANCORP INC /DE/
970,759896,EYE CARE CENTERS OF AMERICA INC
971,760077,FIRST LIBERTY FINANCIAL CORP
972,760079,BOSTON BANCORP
973,760775,WLR FOODS INC
974,760992,ANB CORP
975,761651,MASON GEORGE BANKSHARES INC
976,761860,IP TIMBERLANDS LTD
977,762129,CILCORP INC
978,762131,SALICK HEALTH CARE INC
979,763739,MORRISON KNUDSEN CORP
980,763956,SECURITY BANC CORP
981,764038,SOUTH STATE CORP
982,764044,QUESTAR PIPELINE CO
983,764205,BNH BANCSHARES INC
984,764244,INTERVOICE BRITE INC
985,764403,ETOWN CORP
986,764581,CNB CORP /SC/
987,764762,LONGS DRUG STORES CORP
988,764764,CATERPILLAR FINANCIAL SERVICES CORP
989,764960,PHAR MOR INC
990,766004,SBARRO INC
991,766561,HICKORY TECH CORP
992,766738,GENICOM CORP
993,766916,AMOCO CO
994,767308,MMI COMPANIES INC
995,767673,SEROLOGICALS CORP
996,767920,PMC SIERRA INC
997,768170,PITNEY BOWES CREDIT CORP
998,768532,FIRST COMMERCE BANCSHARES INC
999,768892,HEALTHAXIS INC
1000,769879,RECYCLING INDUSTRIES INC
1001,770460,PEOPLES FINANCIAL CORP /MS/
1002,770618,TRUMPS CASTLE FUNDING INC
1003,771142,ROTECH MEDICAL CORP
1004,771178,VANGUARD CELLULAR SYSTEMS INC
1005,771296,INTERSTATE JOHNSON LANE INC
1006,771667,AHMANSON H F & CO /DE/
1007,771934,ATLANTIC GULF COMMUNITIES CORP
1008,771950,"DIAL GLOBAL, INC. /DE/"
1009,772349,AMERICAN BUSINESS FINANCIAL SERVICES INC /DE/
1010,772372,EXIDE ELECTRONICS GROUP INC
1011,773468,INDYMAC BANCORP INC
1012,773652,ROCKEFELLER CENTER PROPERTIES INC
1013,774055,DIGITAL COURIER TECHNOLOGIES INC
1014,774197,CENTERIOR ENERGY CORP
1015,774214,UNION TEXAS PETROLEUM HOLDINGS INC
1016,774459,ALLEGHENY GENERATING CO
1017,774624,ALLIED GROUP INC
1018,775542,NAC RE CORP
1019,776074,CHAMBERS DEVELOPMENT CO INC
1020,776325,RES CARE INC /KY/
1021,776848,PREMIER NATIONAL BANCORP INC
1022,777001,BEAR STEARNS COMPANIES INC
1023,777491,CH2M HILL COMPANIES LTD
1024,777538,STOKELY USA INC
1025,778201,SUN ENERGY PARTNERS LP
1026,778397,NORRELL CORP
1027,778437,AMERICAN INDUSTRIAL PROPERTIES REIT INC
1028,778439,RAYONIER TIMBERLANDS LP
1029,779152,HENRY JACK & ASSOCIATES INC
1030,779282,DIANON SYSTEMS INC
1031,779390,ASPECT COMMUNICATIONS CORP
1032,782842,"GLEACHER & COMPANY, INC."
1033,783005,EMMIS COMMUNICATIONS CORP
1034,783233,ACC CORP
1035,783265,ALL AMERICAN COMMUNICATIONS INC
1036,783425,ALC COMMUNICATIONS CORP
1037,783604,EAGLE BANCSHARES INC
1038,784011,POPE RESOURCES LTD PARTNERSHIP
1039,784014,AMERICAN INSURED MORTGAGE INVESTORS L P SERIES 86
1040,784199,CRYOLIFE INC
1041,784681,CSC HOLDINGS LLC
1042,785080,CENTURY COMMUNICATIONS CORP
1043,785813,CENTURY BANCSHARES INC
1044,785814,INTEGRATED HEALTH SERVICES INC
1045,785968,"MILLER ENERGY RESOURCES, INC."
1046,786130,TYCO TOYS INC
1047,786344,GAINSCO INC
1048,786617,HUDSON FOODS INC
1049,786877,HILLS STORES CO /DE/
1050,787912,COMMNET CELLULAR INC
1051,787977,BROWN ALEX INC
1052,788043,VWR SCIENTIFIC PRODUCTS CORP
1053,788816,OGLETHORPE POWER CORP
1054,788964,OHM CORP
1055,789460,WORLD FUEL SERVICES CORP
1056,789575,GRENADA SUNBURST SYSTEM CORP
1057,789943,IES INDUSTRIES INC
1058,790159,WHEELABRATOR TECHNOLOGIES INC /DE/
1059,790168,DS BANCOR INC
1060,790372,MS CARRIERS INC
1061,790406,MERRILL CORP
1062,790523,IWC RESOURCES CORP
1063,790555,SIERRAWEST BANCORP
1064,790650,SOUTHERN NEW ENGLAND TELECOMMUNICATIONS CORP
1065,790705,TEKELEC
1066,790706,GOLDEN BOOKS FAMILY ENTERTAINMENT INC
1067,790715,SIGMA DESIGNS INC
1068,790730,AMERON INTERNATIONAL CORP
1069,790815,FRETTER INC
1070,790817,BANYAN STRATEGIC REALTY TRUST
1071,790818,X RITE INC
1072,790928,AMERICAN TRAVELLERS CORP
1073,790929,INTERLAKE CORP
1074,791024,HOME SHOPPING NETWORK INC
1075,791048,ARBOR DRUGS INC
1076,791445,TRUMP PLAZA FUNDING INC
1077,792014,INVG MORTGAGE SECURITIES CORP /DE/
1078,792369,EAGLE FINANCIAL CORP
1079,792397,CONNER PERIPHERALS INC
1080,792570,CASUAL MALE CORP /MA/
1081,792641,BIO REFERENCE LABORATORIES INC
1082,792723,OCTEL COMMUNICATIONS CORP
1083,792861,CARL JACK 312 FUTURES INC
1084,792863,INFINITY BROADCASTING CORP
1085,793024,KENT ELECTRONICS CORP
1086,793075,PALFED INC
1087,793169,EASTERN BANCORP INC
1088,793421,PHOSPHATE RESOURCE PARTNERS LIMITED PARTNERSHIP
1089,793499,FHP INTERNATIONAL CORP
1090,793548,MIDLANTIC CORP
1091,793613,JONES PHARMA INC
1092,793937,LA GEAR INC
1093,795185,COGENERATION CORP OF AMERICA
1094,795212,TRANS WORLD ENTERTAINMENT CORP
1095,795363,CARTER WILLIAM CO
1096,795662,STERLING CHEMICALS HOLDINGS INC /TX/
1097,795986,THERMO INSTRUMENT SYSTEMS INC
1098,796038,THERMO TERRATECH INC
1099,796122,CONTINENTAL HOMES HOLDING CORP
1100,796322,PEOPLES BANK CORP OF INDIANAPOLIS
1101,796838,PACIFIC LUMBER CO /DE/
1102,796912,PLAYERS INTERNATIONAL INC /NV/
1103,797320,FIRST BRANDS CORP
1104,797463,GENERAL ELECTRIC CAPITAL SERVICES INC/CT
1105,797507,PROGRESSIVE BANK INC
1106,797541,PREMIER BANKSHARES CORP
1107,797556,LAROCHE INDUSTRIES INC
1108,798085,CENTRIS GROUP INC
1109,798186,LECHTERS INC
1110,798246,FORSTMANN & CO INC
1111,798363,SCOR US CORP
1112,798540,RETIREMENT CARE ASSOCIATES INC /CO/
1113,798757,EDWARDS J D & CO
1114,798949,UNIT CORP
1115,798955,COST PLUS INC/CA/
1116,799036,PIONEER FINANCIAL SERVICES INC /DE
1117,799208,AMERICAN BUILDINGS CO /DE/
1118,799274,REEVES INDUSTRIES INC /DE/
1119,799290,NELLCOR PURITAN BENNETT INC
1120,799319,IDB COMMUNICATIONS GROUP INC
1121,799850,AMERICAS CARMART INC
1122,800042,CFX CORP
1123,800181,E-MEDSOFT COM
1124,800286,SED INTERNATIONAL HOLDINGS INC
1125,800287,CHEMICAL WASTE MANAGEMENT INC
1126,800575,PREMARK INTERNATIONAL INC
1127,801441,CAROLCO PICTURES INC
1128,801443,ORANGE NATIONAL BANCORP
1129,802223,UNIONFED FINANCIAL CORP
1130,802284,CONTINENTAL MEDICAL SYSTEMS INC /DE/
1131,802806,RIGHT MANAGEMENT CONSULTANTS INC
1132,802896,EZ COMMUNICATIONS INC /VA/
1133,802967,"ASSOCIATED MATERIALS, LLC"
1134,803016,CALIFORNIA FIRST NATIONAL BANCORP
1135,803443,LEASING SOLUTIONS INC
1136,803644,FCNB CORP
1137,804124,INVESTORS BANK CORP
1138,804125,PEEBLES INC
1139,804151,IMO INDUSTRIES INC
1140,804269,"GENERAL MOTORS FINANCIAL COMPANY, INC."
1141,804333,QUALITY FOOD CENTERS INC
1142,804563,BENCHMARK BANKSHARES INC
1143,804742,ALLWASTE INC
1144,805019,TENNECO CREDIT CORP
1145,805080,WEST SUBURBAN BANCORP INC
1146,805305,QUIKSILVER INC
1147,805326,EMISPHERE TECHNOLOGIES INC
1148,805676,PARK NATIONAL CORP /OH/
1149,805956,CELLNET DATA SYSTEMS INC
1150,806085,LEHMAN BROTHERS HOLDINGS INC
1151,806086,ATL ULTRASOUND INC
1152,806151,HORIZON CMS HEALTHCARE CORP
1153,806388,NICHOLS RESEARCH CORP /AL/
1154,806393,ATLANTIC ENERGY INC
1155,807711,AMSTAR CORP /DE/
1156,807862,FLAGSTAR CORP
1157,807877,BAYOU STEEL CORP
1158,808207,SYSTEM SOFTWARE ASSOCIATES INC
1159,808240,AMERICAN HEALTH PROPERTIES INC
1160,808364,FIRST NATIONAL BANK CORP
1161,808918,ENTERTAINMENT DISTRIBUTION CO INC
1162,809246,TRANSPORT CORPORATION OF AMERICA INC
1163,809801,MERIDIAN INSURANCE GROUP INC
1164,809803,SYNTHETIC INDUSTRIES INC
1165,810020,TRANS RESOURCES INC
1166,810029,SHOP AT HOME INC /TN/
1167,810316,DIAMOND SHAMROCK INC
1168,810578,ST PAUL BANCORP INC
1169,810589,ANDOVER BANCORP INC
1170,810665,ADDINGTON RESOURCES INC
1171,811097,HOME FEDERAL CORP
1172,811119,AMERICOLD CORP /OR/
1173,811210,AGOURON PHARMACEUTICALS INC
1174,811434,RARITAN BANCORP INC
1175,811532,CEDAR FAIR L P
1176,811615,COCA COLA BOTTLING GROUP SOUTHWEST INC
1177,811664,WORLDCORP INC
1178,811716,SEQUENT COMPUTER SYSTEMS INC /OR/
1179,811831,NORTHEAST BANCORP /ME/
1180,811917,NATIONAL DISCOUNT BROKERS GROUP INC
1181,811925,CINEPLEX ODEON CORP /CAN/
1182,811929,ALLEGHENY LUDLUM CORP ET AL
1183,811930,MICHAEL FOODS INC
1184,812150,BNP RESIDENTIAL PROPERTIES INC
1185,812423,NU KOTE HOLDING INC /DE/
1186,812427,HOECHST CELANESE CORP
1187,812482,ARCHON CORP
1188,812490,BRODERBUND SOFTWARE INC /DE/
1189,812491,OSICOM TECHNOLOGIES INC
1190,812699,HOMETOWN BANCORPORATION INC
1191,812703,DMC STRATEX NETWORKS INC
1192,812712,WATERHOUSE INVESTOR SERVICES INC
1193,812906,HANCOCK FABRICS INC
1194,812929,PHYSICIAN CORPORATION OF AMERICA /DE/
1195,813040,GREYHOUND LINES INC
1196,813180,OLDE FINANCIAL CORP
1197,813640,CITIZENS BANCSHARES CORP /GA/
1198,813742,MYCOGEN CORP
1199,813828,VIACOMCBS INC.
1200,813895,THERMO POWER CORP
1201,813902,SUMMIT TECHNOLOGY INC
1202,814013,SPECIALTY EQUIPMENT COMPANIES INC
1203,814037,ESSEF CORP
1204,814046,ARVIDA JMB PARTNERS L P
1205,814241,FORMICA CORP
1206,814246,COMDATA HOLDINGS CORP
1207,814249,MICROAGE INC /DE/
1208,814331,RELIANCE ELECTRIC CO/DE
1209,814430,INTELLIGENT ELECTRONICS INC
1210,814500,LDI CORP
1211,814549,EBIX INC
1212,814562,PIMCO ADVISORS HOLDINGS LP
1213,814577,AMAX GOLD INC
1214,814677,PLM INTERNATIONAL INC
1215,815553,PRONET INC /DE/
1216,815743,DISCOVER CREDIT CORP
1217,815917,JONES FINANCIAL COMPANIES LLLP
1218,816330,JB OXFORD HOLDINGS INC
1219,817129,TELESTONE TECHNOLOGIES CORP
1220,817161,ALARIS MEDICAL SYSTEMS INC
1221,817383,ASR INVESTMENTS CORP/
1222,817632,SHARED TECHNOLOGIES FAIRCHILD INC
1223,817637,BWIP INC
1224,817945,BURNS INTERNATIONAL SERVICES CORP
1225,817946,MAYORS JEWELERS INC/DE
1226,818035,MEMOREX TELEX N V
1227,818092,NEW WORLD TELEVISION INC
1228,818350,RDM SPORTS GROUP INC
1229,818470,CALCOMP TECHNOLOGY INC
1230,818633,ELDORADO BANCSHARES INC
1231,818677,SECURITY FEDERAL CORP
1232,818687,MCCAW CELLULAR COMMUNICATIONS INC
1233,818885,UNITED MERIDIAN CORP
1234,819220,MULTI COLOR CORP
1235,819480,READ RITE CORP /DE/
1236,819544,ARCO CHEMICAL CO
1237,819632,RICHFOOD HOLDINGS INC
1238,819671,NATIONAL REALTY L P
1239,819898,SPECTRAVISION INC
1240,819913,HALLMARK FINANCIAL SERVICES INC
1241,820067,SUMMIT BANK CORP
1242,820167,HARBOURTON FINANCIAL SERVICES L P
1243,820235,STRUCTURAL DYNAMICS RESEARCH CORP /OH/
1244,820237,GEN PROBE INC
1245,820318,II-VI INC
1246,820379,FIRST UNITED BANCORPORATION /SC/
1247,820526,LUND INTERNATIONAL HOLDINGS INC
1248,820600,"OMAGINE, INC."
1249,820756,DUTY FREE INTERNATIONAL INC
1250,820900,BFS BANKORP INC
1251,820917,EQUIVEST FINANCE INC
1252,821002,G III APPAREL GROUP LTD /DE/
1253,821020,HERITAGE MEDIA CORP
1254,821139,SUPERMARKETS GENERAL HOLDINGS CORP
1255,821538,TUSCARORA INC
1256,822079,ALDEN JOHN FINANCIAL CORP
1257,822419,CONTEL CELLULAR INC
1258,822426,PIMCO ADVISORS L P /
1259,822697,SHORELINE FINANCIAL CORP
1260,823534,REPAP ENTERPRISES INC
1261,823550,PRIME BANCORP INC /PA
1262,823556,AQUA ALLIANCE INC
1263,823619,GENMAR HOLDINGS INC
1264,823870,FIRST FIDELITY BANCORPORATION /NJ/
1265,824169,NEXTEL COMMUNICATIONS INC
1266,824206,AMERICAN RICE INC
1267,824225,OAK TECHNOLOGY INC
1268,824412,CALIFORNIA HOTEL & CASINO
1269,824590,GETCHELL GOLD CORP
1270,824719,BANKFIRST CORP
1271,824740,PRODIGY COMMUNICATIONS CORP
1272,825534,PORTSMOUTH BANK SHARES INC
1273,825541,SILGAN CORP
1274,825542,SCOTTS MIRACLE-GRO CO
1275,826253,AURA SYSTEMS INC
1276,826411,ABLE TELCOM HOLDING CORP
1277,826490,HEALTHTRUST INC THE HOSPITAL CO
1278,826491,FIRST GEORGIA HOLDING INC
1279,826619,GREEN A P INDUSTRIES INC
1280,827085,PINNACLE BANC GROUP INC
1281,827301,NEWBRIDGE NETWORKS CORP
1282,827795,BASIN EXPLORATION INC
1283,827809,NOVELION THERAPEUTICS INC.
1284,828808,NORWICH FINANCIAL CORP
1285,828976,CALIFORNIA FINANCIAL HOLDING CO
1286,829218,HUNTSMAN POLYMERS CORP
1287,829221,TRACOR INC /DE
1288,829269,NOEL GROUP INC
1289,829282,SKANEATELES BANCORP INC
1290,829444,AVONDALE INDUSTRIES INC
1291,829732,NBB BANCORP INC
1292,829966,PSI RESOURCES INC
1293,830055,ROOSEVELT FINANCIAL GROUP INC
1294,830122,PICO HOLDINGS INC /NEW
1295,830250,INDIANA FEDERAL CORP
1296,830524,CHASE CORP
1297,830748,"PACIFIC OFFICE PROPERTIES TRUST, INC."
1298,830916,MULTI FINELINE ELECTRONIX INC
1299,831001,TRAVELERS GROUP INC
1300,831231,INTEGRA FINANCIAL CORP
1301,831964,CLIFFS DRILLING CO
1302,831979,VISTA BANCORP INC
1303,832177,RISER FOODS INC /DE/
1304,832428,E.W. SCRIPPS CO
1305,832480,UTG INC
